 EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-11-2017
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTANDER/PARAYAS, SPAIN (STAID: 3923)
Blended and updated with sources:19990 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3923, 19990,19530901,-9999,    9
  3923, 19990,19530902,-9999,    9
  3923, 19990,19530903,-9999,    9
  3923, 19990,19530904,-9999,    9
  3923, 19990,19530905,-9999,    9
  3923, 19990,19530906,-9999,    9
  3923, 19990,19530907,-9999,    9
  3923, 19990,19530908,-9999,    9
  3923, 19990,19530909,-9999,    9
  3923, 19990,19530910,-9999,    9
  3923, 19990,19530911,-9999,    9
  3923, 19990,19530912,    0,    0
  3923, 19990,19530913,    0,    0
  3923, 19990,19530914,   20,    0
  3923, 19990,19530915,  360,    0
  3923, 19990,19530916,   92,    0
  3923, 19990,19530917,    7,    0
  3923, 19990,19530918,  301,    0
  3923, 19990,19530919,   60,    0
  3923, 19990,19530920,-9999,    9
  3923, 19990,19530921,-9999,    9
  3923, 19990,19530922,-9999,    9
  3923, 19990,19530923,-9999,    9
  3923, 19990,19530924,-9999,    9
  3923, 19990,19530925,-9999,    9
  3923, 19990,19530926,-9999,    9
  3923, 19990,19530927,-9999,    9
  3923, 19990,19530928,-9999,    9
  3923, 19990,19530929,-9999,    9
  3923, 19990,19530930,-9999,    9
  3923, 19990,19531001,    0,    0
  3923, 19990,19531002,    0,    0
  3923, 19990,19531003,    0,    0
  3923, 19990,19531004,    0,    0
  3923, 19990,19531005,    0,    0
  3923, 19990,19531006,    0,    0
  3923, 19990,19531007,    0,    0
  3923, 19990,19531008,    0,    0
  3923, 19990,19531009,    0,    0
  3923, 19990,19531010,-9999,    9
  3923, 19990,19531011,-9999,    9
  3923, 19990,19531012,  128,    0
  3923, 19990,19531013,  160,    0
  3923, 19990,19531014,  370,    0
  3923, 19990,19531015,  500,    0
  3923, 19990,19531016,   50,    0
  3923, 19990,19531017,   60,    0
  3923, 19990,19531018,   96,    0
  3923, 19990,19531019,   10,    0
  3923, 19990,19531020,    0,    0
  3923, 19990,19531021,    0,    0
  3923, 19990,19531022,    0,    0
  3923, 19990,19531023,    0,    0
  3923, 19990,19531024,    0,    0
  3923, 19990,19531025,  258,    0
  3923, 19990,19531026,   36,    0
  3923, 19990,19531027,   72,    0
  3923, 19990,19531028,  228,    0
  3923, 19990,19531029,   84,    0
  3923, 19990,19531030,    0,    0
  3923, 19990,19531031,   16,    0
  3923, 19990,19531101,   98,    0
  3923, 19990,19531102,   28,    0
  3923, 19990,19531103,   90,    0
  3923, 19990,19531104,   90,    0
  3923, 19990,19531105,   55,    0
  3923, 19990,19531106,    0,    0
  3923, 19990,19531107,    0,    0
  3923, 19990,19531108,    0,    0
  3923, 19990,19531109,    0,    0
  3923, 19990,19531110,    0,    0
  3923, 19990,19531111,    0,    0
  3923, 19990,19531112,    0,    0
  3923, 19990,19531113,    0,    0
  3923, 19990,19531114,    0,    0
  3923, 19990,19531115,    0,    0
  3923, 19990,19531116,    0,    0
  3923, 19990,19531117,    0,    0
  3923, 19990,19531118,    0,    0
  3923, 19990,19531119,    0,    0
  3923, 19990,19531120,    0,    0
  3923, 19990,19531121,    0,    0
  3923, 19990,19531122,    0,    0
  3923, 19990,19531123,    0,    0
  3923, 19990,19531124,    0,    0
  3923, 19990,19531125,   52,    0
  3923, 19990,19531126,   10,    0
  3923, 19990,19531127,    0,    0
  3923, 19990,19531128,    0,    0
  3923, 19990,19531129,    0,    0
  3923, 19990,19531130,    0,    0
  3923, 19990,19531201,    0,    0
  3923, 19990,19531202,    0,    0
  3923, 19990,19531203,    0,    0
  3923, 19990,19531204,    0,    0
  3923, 19990,19531205,    0,    0
  3923, 19990,19531206,    0,    0
  3923, 19990,19531207,    0,    0
  3923, 19990,19531208,    0,    0
  3923, 19990,19531209,    0,    0
  3923, 19990,19531210,    0,    0
  3923, 19990,19531211,    0,    0
  3923, 19990,19531212,    0,    0
  3923, 19990,19531213,    0,    0
  3923, 19990,19531214,   14,    0
  3923, 19990,19531215,   96,    0
  3923, 19990,19531216,    0,    0
  3923, 19990,19531217,    0,    0
  3923, 19990,19531218,    0,    0
  3923, 19990,19531219,    0,    0
  3923, 19990,19531220,    0,    0
  3923, 19990,19531221,    0,    0
  3923, 19990,19531222,    0,    0
  3923, 19990,19531223,    0,    0
  3923, 19990,19531224,    0,    0
  3923, 19990,19531225,    0,    0
  3923, 19990,19531226,   20,    0
  3923, 19990,19531227,  115,    0
  3923, 19990,19531228,  149,    0
  3923, 19990,19531229,  104,    0
  3923, 19990,19531230,   82,    0
  3923, 19990,19531231,   62,    0
  3923, 19990,19540101,    0,    0
  3923, 19990,19540102,  102,    0
  3923, 19990,19540103,    0,    0
  3923, 19990,19540104,  128,    0
  3923, 19990,19540105,   76,    0
  3923, 19990,19540106,   86,    0
  3923, 19990,19540107,  214,    0
  3923, 19990,19540108,    7,    0
  3923, 19990,19540109,   10,    0
  3923, 19990,19540110,  165,    0
  3923, 19990,19540111,   10,    0
  3923, 19990,19540112,    0,    0
  3923, 19990,19540113,    2,    0
  3923, 19990,19540114,   30,    0
  3923, 19990,19540115,   22,    0
  3923, 19990,19540116,    0,    0
  3923, 19990,19540117,    0,    0
  3923, 19990,19540118,    0,    0
  3923, 19990,19540119,    0,    0
  3923, 19990,19540120,    0,    0
  3923, 19990,19540121,    0,    0
  3923, 19990,19540122,    0,    0
  3923, 19990,19540123,    0,    0
  3923, 19990,19540124,    0,    0
  3923, 19990,19540125,    4,    0
  3923, 19990,19540126,  409,    0
  3923, 19990,19540127,  250,    0
  3923, 19990,19540128,   62,    0
  3923, 19990,19540129,  122,    0
  3923, 19990,19540130,  164,    0
  3923, 19990,19540131,   47,    0
  3923, 19990,19540201,   45,    0
  3923, 19990,19540202,    8,    0
  3923, 19990,19540203,   15,    0
  3923, 19990,19540204,    8,    0
  3923, 19990,19540205,  124,    0
  3923, 19990,19540206,   30,    0
  3923, 19990,19540207,  132,    0
  3923, 19990,19540208,  127,    0
  3923, 19990,19540209,   50,    0
  3923, 19990,19540210,   40,    0
  3923, 19990,19540211,  114,    0
  3923, 19990,19540212,   14,    0
  3923, 19990,19540213,   73,    0
  3923, 19990,19540214,  308,    0
  3923, 19990,19540215,   15,    0
  3923, 19990,19540216,    0,    0
  3923, 19990,19540217,    0,    0
  3923, 19990,19540218,   34,    0
  3923, 19990,19540219,  188,    0
  3923, 19990,19540220,   12,    0
  3923, 19990,19540221,    7,    0
  3923, 19990,19540222,    0,    0
  3923, 19990,19540223,   18,    0
  3923, 19990,19540224,    8,    0
  3923, 19990,19540225,    0,    0
  3923, 19990,19540226,    0,    0
  3923, 19990,19540227,   21,    0
  3923, 19990,19540228,   27,    0
  3923, 19990,19540301,    3,    0
  3923, 19990,19540302,    2,    0
  3923, 19990,19540303,   95,    0
  3923, 19990,19540304,  117,    0
  3923, 19990,19540305,   74,    0
  3923, 19990,19540306,    0,    0
  3923, 19990,19540307,    0,    0
  3923, 19990,19540308,   14,    0
  3923, 19990,19540309,    0,    0
  3923, 19990,19540310,    0,    0
  3923, 19990,19540311,    0,    0
  3923, 19990,19540312,    0,    0
  3923, 19990,19540313,    0,    0
  3923, 19990,19540314,    0,    0
